Title,URL
New exponent functions that make SiLU and SoftMax 2x faster, at full accuracy,https://github.com/ggerganov/llama.cpp/pull/7154
LLMs are not suitable for brainstorming,https://piaoyang0.wordpress.com/2024/05/15/llms-are-not-suitable-for-brainstorming/
Adobe Photoshop Source Code (2013),https://computerhistory.org/blog/adobe-photoshop-source-code/
In medicine what's the difference between an -ectomy, an -ostomy, and an -otomy? (1986),https://www.straightdope.com/21341781/in-medicine-what-s-the-difference-between-an-ectomy-an-ostomy-and-an-otomy
Project Gameface launches on Android,https://developers.googleblog.com/en/project-gameface-launches-on-android/
Jepsen: Datomic Pro 1.0.7075,https://jepsen.io/analyses/datomic-pro-1.0.7075
A 'plague' comes before the fall: lessons from Roman history,https://thebulletin.org/2024/05/a-plague-comes-before-the-fall-lessons-from-roman-history/
SSD death, tricky read-only filesystems, and systemd magic?,https://rachelbythebay.com/w/2024/05/15/ro/
Dragonfly: An optical telescope built from an array of off-the-shelf Canon lens,https://www.dunlap.utoronto.ca/instrumentation/dragonfly/
Show HN: Open-source BI and analytics for engineers,https://github.com/quarylabs/quary
